---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 HS 1-1  1.841e+00  [0 1.000e+00 1.000e+00 9.188e-07]  [165 -1 31]
 HS 1-2  3.706e+00  [-120 9.188e-07 9.188e-07 1.680e-06]  [168 0 31]
 HS 1-1  5.539e+00  [0 1.000e+00 1.000e+00 9.744e-07]  [161 -1 30]
 HS 1-2  7.407e+00  [-120 9.744e-07 9.744e-07 2.605e-06]  [163 0 32]
 HS 1-1  9.206e+00  [0 1.000e+00 1.000e+00 9.786e-07]  [162 -1 30]
 HS 1-2  1.105e+01  [-120 9.786e-07 9.786e-07 2.147e-06]  [165 0 32]
 HS 1-1  1.376e+01  [0 1.000e+00 1.000e+00 9.789e-07]  [406 0 54]
 HS 1-2  1.671e+01  [-120 9.789e-07 9.789e-07 2.903e-06]  [434 0 56]
 HS 1-1  1.858e+01  [0 1.000e+00 1.000e+00 9.136e-07]  [160 -1 32]
 HS 1-2s 2.057e+01  [-120 9.136e-07 9.136e-07 1.523e-06]  [172 0 32]
